구분,질문,답변
성북동1가/전세/보증금,성북동1가 전세 보증금 가장비싼 높은 고액,성북동1가의 (전세)거래내역이 없습니다
연남동/전세/보증금,연남동 전세 보증금 가장비싼 높은 고액,연남동의 (전세)거래내역이 없습니다
평창동/전세/보증금,평창동 전세 보증금 가장비싼 높은 고액,평창동의 (전세)거래내역이 없습니다
동소문동6가/전세/보증금,동소문동6가 전세 보증금 가장비싼 높은 고액,동소문동6가의 (전세)거래내역이 없습니다
냉천동/전세/보증금,냉천동 전세 보증금 가장비싼 높은 고액,냉천동의 (전세)거래내역이 없습니다
광희동1가/전세/보증금,광희동1가 전세 보증금 가장비싼 높은 고액,광희동1가의 (전세)거래내역이 없습니다
행촌동/전세/보증금,행촌동 전세 보증금 가장비싼 높은 고액,행촌동의 (전세)거래내역이 없습니다
흥인동/전세/보증금,흥인동 전세 보증금 가장비싼 높은 고액,흥인동의 (전세)거래내역이 없습니다
동교동/전세/보증금,동교동 전세 보증금 가장비싼 높은 고액,동교동의 (전세)거래내역이 없습니다
누하동/전세/보증금,누하동 전세 보증금 가장비싼 높은 고액,누하동의 (전세)거래내역이 없습니다
만리동1가/전세/보증금,만리동1가 전세 보증금 가장비싼 높은 고액,만리동1가의 (전세)거래내역이 없습니다
부암동/전세/보증금,부암동 전세 보증금 가장비싼 높은 고액,부암동의 (전세)거래내역이 없습니다
누상동/전세/보증금,누상동 전세 보증금 가장비싼 높은 고액,누상동의 (전세)거래내역이 없습니다
한강로2가/전세/보증금,한강로2가 전세 보증금 가장비싼 높은 고액,한강로2가의 (전세)거래내역이 없습니다
창천동/전세/보증금,창천동 전세 보증금 가장비싼 높은 고액,창천동의 (전세)거래내역이 없습니다
충정로2가/전세/보증금,충정로2가 전세 보증금 가장비싼 높은 고액,충정로2가의 (전세)거래내역이 없습니다
서빙고동/전세/보증금,서빙고동 전세 보증금 가장비싼 높은 고액,서빙고동의 (전세)거래내역이 없습니다
보문동2가/전세/보증금,보문동2가 전세 보증금 가장비싼 높은 고액,보문동2가의 (전세)거래내역이 없습니다
하중동/전세/보증금,하중동 전세 보증금 가장비싼 높은 고액,하중동의 (전세)거래내역이 없습니다
보문동7가/전세/보증금,보문동7가 전세 보증금 가장비싼 높은 고액,보문동7가의 (전세)거래내역이 없습니다
장충동1가/전세/보증금,장충동1가 전세 보증금 가장비싼 높은 고액,장충동1가의 (전세)거래내역이 없습니다
필동1가/전세/보증금,필동1가 전세 보증금 가장비싼 높은 고액,필동1가의 (전세)거래내역이 없습니다
합동/전세/보증금,합동 전세 보증금 가장비싼 높은 고액,합동의 (전세)거래내역이 없습니다
구수동/전세/보증금,구수동 전세 보증금 가장비싼 높은 고액,구수동의 (전세)거래내역이 없습니다
충무로3가/전세/보증금,충무로3가 전세 보증금 가장비싼 높은 고액,충무로3가의 (전세)거래내역이 없습니다
삼선동4가/전세/보증금,삼선동4가 전세 보증금 가장비싼 높은 고액,삼선동4가의 (전세)거래내역이 없습니다
충무로5가/전세/보증금,충무로5가 전세 보증금 가장비싼 높은 고액,충무로5가의 (전세)거래내역이 없습니다
가락동/전세/보증금,가락동 전세 보증금 가장비싼 높은 고액,가락동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 145000만원에 거래된 헬리오시티 아파트입니다.
문정동/전세/보증금,문정동 전세 보증금 가장비싼 높은 고액,문정동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 95000만원에 거래된 올림픽훼밀리타운 아파트입니다.
상계동/전세/보증금,상계동 전세 보증금 가장비싼 높은 고액,상계동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 62000만원에 거래된 노원롯데캐슬시그니처 아파트입니다.
방배동/전세/보증금,방배동 전세 보증금 가장비싼 높은 고액,방배동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 140000만원에 거래된 방배그랑자이 아파트입니다.
시흥동/전세/보증금,시흥동 전세 보증금 가장비싼 높은 고액,시흥동에서 보증금이 가장비싸게 거래된 전세는 m²(임대면적) 기준으로 보증금 56000만원에 거래된 남서울힐스테이트 아파트입니다.
