구분,질문,답변
전월세가,강동구 강일동에 있는 2009년에 지어진 강일리버파크3단지 아파트은/는 12층 39.9m²(임대면적) 기준으로 보증금 2938만원 임대료는 23만원에 월세로 거래되었습니다.,강동구 강일동에 있는 2009년에 지어진 강일리버파크3단지 아파트은/는 12층 39.9m²(임대면적) 기준으로 보증금 2938만원 임대료는 23만원에 월세로 거래되었습니다.
전월세가,구로구 천왕동에 있는 2017년에 지어진 천왕이펜하우스7단지 아파트은/는 7층 29.96m²(임대면적) 기준으로 보증금 4159만원 임대료는 5만원에 월세로 거래되었습니다.,구로구 천왕동에 있는 2017년에 지어진 천왕이펜하우스7단지 아파트은/는 7층 29.96m²(임대면적) 기준으로 보증금 4159만원 임대료는 5만원에 월세로 거래되었습니다.
전월세가,서대문구 홍은동에 있는 1992년에 지어진 (8-694) 연립다세대은/는 1층 32.43m²(임대면적) 기준으로 보증금 6000만원 임대료는 0만원에 전세로 거래되었습니다.,서대문구 홍은동에 있는 1992년에 지어진 (8-694) 연립다세대은/는 1층 32.43m²(임대면적) 기준으로 보증금 6000만원 임대료는 0만원에 전세로 거래되었습니다.
전월세가,구로구 천왕동에 있는 2011년에 지어진 천왕이펜하우스4단지 아파트은/는 6층 59.95m²(임대면적) 기준으로 보증금 14246만원 임대료는 0만원에 전세로 거래되었습니다.,구로구 천왕동에 있는 2011년에 지어진 천왕이펜하우스4단지 아파트은/는 6층 59.95m²(임대면적) 기준으로 보증금 14246만원 임대료는 0만원에 전세로 거래되었습니다.
전월세가,마포구 아현동에 있는 2015년에 지어진 공덕자이 아파트은/는 18층 59.99m²(임대면적) 기준으로 보증금 65000만원 임대료는 0만원에 전세로 거래되었습니다.,마포구 아현동에 있는 2015년에 지어진 공덕자이 아파트은/는 18층 59.99m²(임대면적) 기준으로 보증금 65000만원 임대료는 0만원에 전세로 거래되었습니다.
전월세가,금천구 시흥동에 있는 1988년에 지어진 중앙하이츠빌라 연립다세대은/는 2층 49.84m²(임대면적) 기준으로 보증금 15000만원 임대료는 0만원에 전세로 거래되었습니다.,금천구 시흥동에 있는 1988년에 지어진 중앙하이츠빌라 연립다세대은/는 2층 49.84m²(임대면적) 기준으로 보증금 15000만원 임대료는 0만원에 전세로 거래되었습니다.
전월세가,광진구 자양동에 있는 2017년에 지어진 Y-PARK(와이파크) 연립다세대은/는 5층 37.44m²(임대면적) 기준으로 보증금 30000만원 임대료는 0만원에 전세로 거래되었습니다.,광진구 자양동에 있는 2017년에 지어진 Y-PARK(와이파크) 연립다세대은/는 5층 37.44m²(임대면적) 기준으로 보증금 30000만원 임대료는 0만원에 전세로 거래되었습니다.
전월세가,송파구 신천동에 있는 1979년에 지어진 장미1 아파트은/는 3층 155.22m²(임대면적) 기준으로 보증금 79800만원 임대료는 0만원에 전세로 거래되었습니다.,송파구 신천동에 있는 1979년에 지어진 장미1 아파트은/는 3층 155.22m²(임대면적) 기준으로 보증금 79800만원 임대료는 0만원에 전세로 거래되었습니다.
전월세가,중구 광희동1가에 있는 2023년에 지어진 광희동1가166외7필지청년주택신축 아파트은/는 20층 15.51m²(임대면적) 기준으로 보증금 8510만원 임대료는 41만원에 월세로 거래되었습니다.,중구 광희동1가에 있는 2023년에 지어진 광희동1가166외7필지청년주택신축 아파트은/는 20층 15.51m²(임대면적) 기준으로 보증금 8510만원 임대료는 41만원에 월세로 거래되었습니다.
전월세가,구로구 고척동에 있는 2016년에 지어진 엘림하우스 연립다세대은/는 4층 56.14m²(임대면적) 기준으로 보증금 4358만원 임대료는 10만원에 월세로 거래되었습니다.,구로구 고척동에 있는 2016년에 지어진 엘림하우스 연립다세대은/는 4층 56.14m²(임대면적) 기준으로 보증금 4358만원 임대료는 10만원에 월세로 거래되었습니다.
전월세가,금천구 가산동에 있는 2020년에 지어진 가산센트럴 푸르지오시티 오피스텔은/는 17층 17.69m²(임대면적) 기준으로 보증금 12800만원 임대료는 0만원에 전세로 거래되었습니다.,금천구 가산동에 있는 2020년에 지어진 가산센트럴 푸르지오시티 오피스텔은/는 17층 17.69m²(임대면적) 기준으로 보증금 12800만원 임대료는 0만원에 전세로 거래되었습니다.
전월세가,강남구 대치동에 있는 1979년에 지어진 은마 아파트은/는 7층 84.43m²(임대면적) 기준으로 보증금 35000만원 임대료는 135만원에 월세로 거래되었습니다.,강남구 대치동에 있는 1979년에 지어진 은마 아파트은/는 7층 84.43m²(임대면적) 기준으로 보증금 35000만원 임대료는 135만원에 월세로 거래되었습니다.
