SGG_NM,BJDONG_NM,FLR_NO,CNTRCT_DE,RENT_GBN,RENT_AREA,RENT_GTN,RENT_FEE,BLDG_NM,BUILD_YEAR,HOUSE_GBN_NM
용산구,도원동,16.0,20231022,월세,32.76,1351,18,도원동삼성래미안(임대),2001,아파트
송파구,장지동,2.0,20231022,월세,49.93,4376,29,송파파인타운10단지,2007,아파트
은평구,역촌동,13.0,20231022,월세,16.12,3506,5,헤르미온,2020,연립다세대
강동구,강일동,12.0,20231021,월세,39.9,2938,23,강일리버파크3단지,2009,아파트
구로구,천왕동,7.0,20231021,월세,29.96,4159,5,천왕이펜하우스7단지,2017,아파트
광진구,자양동,4.0,20231020,월세,29.04,2000,85,경성아트빌,2016,연립다세대
구로구,천왕동,9.0,20231020,월세,59.97,9505,31,천왕연지타운1단지,2013,아파트
광진구,자양동,5.0,20231020,전세,31.01,23000,0,경성홈타운,2014,연립다세대
송파구,거여동,13.0,20231020,전세,84.89,50000,0,현대1차,1992,아파트
은평구,녹번동,2.0,20231020,전세,51.22,20500,0,경인에버빌(141-105),2014,연립다세대
동작구,동작동,4.0,20231020,전세,60.0,68000,0,이수힐스테이트,2013,아파트
용산구,원효로4가,22.0,20231020,전세,59.94,51800,0,강변삼성스위트,1999,아파트
은평구,대조동,2.0,20231020,월세,29.99,14000,22,하늘파크빌,2011,연립다세대
송파구,거여동,13.0,20231020,전세,39.15,3691,0,거여6단지,1997,아파트
강남구,역삼동,21.0,20231020,월세,59.4,20000,280,역삼래미안,2005,아파트
서초구,반포동,1.0,20231020,전세,174.78,114000,0,강남원효성빌라,1984,연립다세대
송파구,방이동,2.0,20231020,월세,83.06,68250,30,올림픽선수기자촌3단지,1988,아파트
강남구,개포동,13.0,20231020,전세,83.7,56000,0,개포주공7단지,1983,아파트
송파구,석촌동,2.0,20231020,전세,41.51,19845,0,정원,2002,연립다세대
중랑구,신내동,23.0,20231020,월세,57.3,27300,10,건영2차,1996,아파트
구로구,천왕동,3.0,20231020,전세,114.85,22258,0,천왕이펜하우스2단지,2011,아파트
노원구,중계동,6.0,20231020,전세,84.9,80000,0,건영3,1995,아파트
강서구,화곡동,4.0,20231020,월세,23.68,5680,38,우장산역해링턴타워,2021,아파트
강서구,화곡동,8.0,20231020,월세,59.99,5000,142,강서힐스테이트,2015,아파트
송파구,신천동,3.0,20231020,월세,82.45,5000,165,장미1,1979,아파트
은평구,역촌동,4.0,20231020,월세,44.91,2000,60,거성빌라트,1998,연립다세대
강서구,화곡동,8.0,20231020,전세,34.32,15750,0,프라임하우스(916-9),2013,아파트
강동구,강일동,5.0,20231020,월세,49.36,8683,13,강동리버스트7단지,2021,아파트
송파구,신천동,8.0,20231020,전세,84.79,105000,0,파크리오,2008,아파트
광진구,자양동,5.0,20231020,전세,37.44,30000,0,Y-PARK(와이파크),2017,연립다세대
용산구,문배동,12.0,20231020,전세,17.46,17500,0,용산큐브,2013,오피스텔
강남구,세곡동,3.0,20231020,전세,59.99,60000,0,강남엘에이치1단지,2013,아파트
구로구,천왕동,9.0,20231020,월세,59.95,8827,14,천왕이펜하우스3단지,2011,아파트
강동구,강일동,10.0,20231020,월세,59.86,8117,12,강일리버파크10단지,2009,아파트
강서구,화곡동,5.0,20231020,전세,52.65,15000,0,정원,2002,아파트
강동구,상일동,9.0,20231020,월세,36.87,11141,17,강동리엔파크14단지,2021,아파트
강서구,마곡동,13.0,20231020,월세,26.28,1000,69,엠코지니어스타,2015,오피스텔
강서구,등촌동,4.0,20231020,월세,15.44,3000,65,거산하이빌(521-22),2014,연립다세대
강서구,화곡동,3.0,20231020,전세,60.55,19000,0,하나타운(158-38),2002,연립다세대
영등포구,신길동,12.0,20231020,전세,15.91,19500,0,검지스캐슬,2020,오피스텔
강동구,둔촌동,11.0,20231020,전세,83.4,50000,0,프라자,1984,아파트
강동구,강일동,4.0,20231020,월세,59.87,8323,12,강일리버파크9단지,2009,아파트
강서구,염창동,15.0,20231020,전세,84.97,50000,0,염창2차보람,2005,아파트
강동구,강일동,9.0,20231020,월세,59.87,8323,12,강일리버파크9단지,2009,아파트
송파구,방이동,1.0,20231020,전세,120.42,97650,0,올림픽선수기자촌2단지,1988,아파트
강서구,가양동,1.0,20231020,전세,34.44,19000,0,가양2단지(성지),1992,아파트
강남구,대치동,9.0,20231020,월세,76.79,20000,200,은마,1979,아파트
강동구,천호동,3.0,20231020,월세,39.48,1665,40,jkhouse,2020,연립다세대
