구분,질문,답변
용산구 도원동 월세,용산구 도원동에 아파트 월세 보여주세요.,용산구 도원동에 있는 2001년에 지어진 도원동삼성래미안(임대) 아파트은/는 16.0층 32.76m²(임대면적) 기준으로 보증금 1351만원 임대료는 18만원에 월세로 거래되었습니다.
송파구 장지동 월세,송파구 장지동에 아파트 월세 보여주세요.,송파구 장지동에 있는 2007년에 지어진 송파파인타운10단지 아파트은/는 2.0층 49.93m²(임대면적) 기준으로 보증금 4376만원 임대료는 29만원에 월세로 거래되었습니다.
은평구 역촌동 월세,은평구 역촌동에 연립다세대 월세 보여주세요.,은평구 역촌동에 있는 2020년에 지어진 헤르미온 연립다세대은/는 13.0층 16.12m²(임대면적) 기준으로 보증금 3506만원 임대료는 5만원에 월세로 거래되었습니다.
강동구 강일동 월세,강동구 강일동에 아파트 월세 보여주세요.,강동구 강일동에 있는 2009년에 지어진 강일리버파크3단지 아파트은/는 12.0층 39.9m²(임대면적) 기준으로 보증금 2938만원 임대료는 23만원에 월세로 거래되었습니다.
구로구 천왕동 월세,구로구 천왕동에 아파트 월세 보여주세요.,구로구 천왕동에 있는 2017년에 지어진 천왕이펜하우스7단지 아파트은/는 7.0층 29.96m²(임대면적) 기준으로 보증금 4159만원 임대료는 5만원에 월세로 거래되었습니다.
광진구 자양동 월세,광진구 자양동에 연립다세대 월세 보여주세요.,광진구 자양동에 있는 2016년에 지어진 경성아트빌 연립다세대은/는 4.0층 29.04m²(임대면적) 기준으로 보증금 2000만원 임대료는 85만원에 월세로 거래되었습니다.
구로구 천왕동 월세,구로구 천왕동에 아파트 월세 보여주세요.,구로구 천왕동에 있는 2013년에 지어진 천왕연지타운1단지 아파트은/는 9.0층 59.97m²(임대면적) 기준으로 보증금 9505만원 임대료는 31만원에 월세로 거래되었습니다.
광진구 자양동 전세,광진구 자양동에 연립다세대 전세 보여주세요.,광진구 자양동에 있는 2014년에 지어진 경성홈타운 연립다세대은/는 5.0층 31.01m²(임대면적) 기준으로 보증금 23000만원 전세로 거래되었습니다.
송파구 거여동 전세,송파구 거여동에 아파트 전세 보여주세요.,송파구 거여동에 있는 1992년에 지어진 현대1차 아파트은/는 13.0층 84.89m²(임대면적) 기준으로 보증금 50000만원 전세로 거래되었습니다.
은평구 녹번동 전세,은평구 녹번동에 연립다세대 전세 보여주세요.,은평구 녹번동에 있는 2014년에 지어진 경인에버빌(141-105) 연립다세대은/는 2.0층 51.22m²(임대면적) 기준으로 보증금 20500만원 전세로 거래되었습니다.
동작구 동작동 전세,동작구 동작동에 아파트 전세 보여주세요.,동작구 동작동에 있는 2013년에 지어진 이수힐스테이트 아파트은/는 4.0층 60.0m²(임대면적) 기준으로 보증금 68000만원 전세로 거래되었습니다.
용산구 원효로4가 전세,용산구 원효로4가에 아파트 전세 보여주세요.,용산구 원효로4가에 있는 1999년에 지어진 강변삼성스위트 아파트은/는 22.0층 59.94m²(임대면적) 기준으로 보증금 51800만원 전세로 거래되었습니다.
은평구 대조동 월세,은평구 대조동에 연립다세대 월세 보여주세요.,은평구 대조동에 있는 2011년에 지어진 하늘파크빌 연립다세대은/는 2.0층 29.99m²(임대면적) 기준으로 보증금 14000만원 임대료는 22만원에 월세로 거래되었습니다.
송파구 거여동 전세,송파구 거여동에 아파트 전세 보여주세요.,송파구 거여동에 있는 1997년에 지어진 거여6단지 아파트은/는 13.0층 39.15m²(임대면적) 기준으로 보증금 3691만원 전세로 거래되었습니다.
강남구 역삼동 월세,강남구 역삼동에 아파트 월세 보여주세요.,강남구 역삼동에 있는 2005년에 지어진 역삼래미안 아파트은/는 21.0층 59.4m²(임대면적) 기준으로 보증금 20000만원 임대료는 280만원에 월세로 거래되었습니다.
서초구 반포동 전세,서초구 반포동에 연립다세대 전세 보여주세요.,서초구 반포동에 있는 1984년에 지어진 강남원효성빌라 연립다세대은/는 1.0층 174.78m²(임대면적) 기준으로 보증금 114000만원 전세로 거래되었습니다.
