BJDONG_NM,ADDRESS,RA_REGNO,CMP_NM,위도,경도
신도림동,서울특별시 구로구 경인로 661,11500-2022-00106,라빌공인중개사사무소,37.5096619486431,126.887986372819
구로동,서울특별시 구로구 디지털로33길 11,11530-2023-00039,타워공인중개사사무소,37.4857057781612,126.895512679788
구로동,서울특별시 구로구 구로동로 117,41190-2022-00036,아라공인중개사사무소,37.4890289972558,126.884238062716
구로동,서울특별시 구로구 도림로3길 3,11530-2023-00041,한중공인중개사사무소,37.4855181921293,126.886342582399
구로동,서울특별시 구로구 새말로 31,92420000-977,롯데공인중개사사무소,37.5043810037001,126.884824856096
가리봉동,서울특별시 구로구 디지털로20길 13,92420000-2608,부자공인중개사사무소,37.480014035469,126.891925767506
구로동,서울특별시 구로구 공원로6길 25,11530-2022-00029,21세기공인중개사사무소,37.5021870387072,126.891663672056
구로동,서울특별시 구로구 디지털로29길 38,11545-2017-00022,현대부동산공인중개사사무소,37.4844975405616,126.89331047608
신도림동,서울특별시 구로구 경인로 621,92420000-1065,광장공인중개사사무소,37.5068542551694,126.884818002756
신도림동,서울특별시 구로구 신도림로 33-1,92420000-1413,시온공인중개사사무소,37.5076885995442,126.879591786684
신도림동,서울특별시 구로구 경인로 579,나92425410-3,대도부동산중개인사무소,37.5046253136613,126.880875262842
신도림동,서울특별시 구로구 신도림로 7,92420000-1156,금강공인중개사사무소,37.5061633129074,126.877164760067
가리봉동,서울특별시 구로구 디지털로27길 131,92420000-1557,은혜공인중개사사무소,37.4847696038267,126.886873659595
온수동,서울특별시 구로구 부일로9길 133,가92425360-8,온수부동산중개인사무소,37.4969022888416,126.82218620402
가리봉동,서울특별시 구로구 디지털로23길 14,나92425110-40,영민부동산중개인사무소,37.48157711091,126.891440516258
가리봉동,서울특별시 구로구 남부순환로105가길 13,가92425110-37,대우부동산중개인사무소,37.4796638168966,126.89252231849
신도림동,서울특별시 구로구 신도림로 16,92420000-2582,샘터공인중개사사무소,37.5051228166042,126.88219103785
신도림동,서울특별시 구로구 신도림로 56-13,92420000-1967,LBA대림 공인중개사사무소,37.5090729712449,126.882432752392
궁동,서울특별시 구로구 부일로11길 110,92420000-3077,이래공인중개사사무소,37.4977805094589,126.829903155287
궁동,서울특별시 구로구 부일로11길 110,92420000-3077,이래공인중개사사무소,37.4977805094589,126.829903155287
궁동,서울특별시 구로구 부일로11길 110,92420000-3077,이래공인중개사사무소,37.4977805094589,126.829903155287
